"DATE","CPIUS","CPIEU","M2US","M2EU","IREU","IRUS"
2002-11-01,2.19842164599775,2.3,62.8500000000004,64.4799999999996,3.3043,1.34
2002-12-01,2.37691001697794,2.3,52.4899999999998,105.95,3.0945,1.24
2003-01-01,2.5974025974026,2.2,0.960000000000036,-57.8400000000001,2.7868,1.24
2003-02-01,2.98087739032619,2.4,10.5250000000005,27.9100000000008,2.7635,1.26
2003-03-01,3.0201342281879,2.4,63.3549999999996,54.8299999999999,2.749,1.25
2003-04-01,2.22469410456062,2.1,65.5200000000004,46,2.5605,1.26
2003-05-01,2.05784204671857,1.9,-4.22500000000036,57.0799999999999,2.5571,1.26
2003-06-01,2.11228460255697,2,49.3449999999993,20.6700000000001,2.2133,1.22
2003-07-01,2.10993892282067,2,49.4800000000005,-5.8700000000008,2.0783,1.01
2003-08-01,2.15827338129497,2.1,56.9250000000002,1.74000000000069,2.0981,1.03
2003-09-01,2.32044198895027,2.2,-26.665,11.0099999999993,2.0209,1.01
2003-10-01,2.04081632653061,2.1,-13.46,20.9000000000005,2.0148,1.01
2003-11-01,1.7650303364589,2.2,17.3249999999998,48.1599999999999,1.973,1
2003-12-01,1.87949143173024,2,27.0749999999998,91.96,2.0567,0.98
2004-01-01,1.92625206384149,1.8,-28.0999999999995,-26.29,2.0214,1
2004-02-01,1.69306389950846,1.7,6.09999999999945,1.84000000000015,2.0315,1.01
2004-03-01,1.73724212812162,1.7,81.7400000000007,36.6700000000001,2.0057,1
2004-04-01,2.28509249183896,2.1,84.2599999999993,34.25,2.078,1
2004-05-01,3.05177111716622,2.5,2.96000000000004,32.8999999999996,2.0152,1
2004-06-01,3.26619488296135,2.4,30.8150000000005,30.6400000000003,2.0277,1.03
2004-07-01,2.99075584556824,2.3,6.92500000000018,20.4299999999994,2.0677,1.26
2004-08-01,2.65438786565547,2.4,14.3199999999997,-30.5199999999995,2.0405,1.43
2004-09-01,2.53779697624191,2.2,42.2299999999996,53.1599999999999,2.0518,1.61
2004-10-01,3.18918918918919,2.4,14.3250000000007,39.21,2.1114,1.76
2004-11-01,3.52303523035231,2.3,43.7449999999999,38.5799999999999,2.085,1.93
2004-12-01,3.25556158437331,2.3,53.2299999999996,103.400000000001,2.0535,2.16
2005-01-01,2.96976241900649,1.9,-41.25,5.02999999999975,2.0771,2.28
2005-02-01,3.0075187969925,2.1,-1.52499999999964,6.05999999999949,2.0585,2.5
2005-03-01,3.14834578441835,2.2,58.3000000000002,37.0300000000007,2.0567,2.63
2005-04-01,3.51063829787233,2.1,54.5499999999993,57.8899999999994,2.0757,2.79
2005-05-01,2.80274986779483,2,-64.3049999999994,40.0500000000002,2.07,3
2005-06-01,2.53031101739589,2,59.6049999999996,80.1499999999996,2.0623,3.04
2005-07-01,3.16789862724393,2.1,15.1000000000004,38.0500000000002,2.0729,3.26
2005-08-01,3.64116094986808,2.2,19.8549999999996,-37.1099999999997,2.0609,3.5
2005-09-01,4.68667719852555,2.6,40.4700000000003,80.2200000000003,2.0941,3.62
2005-10-01,4.34782608695652,2.5,19.4899999999998,37.2999999999993,2.0671,3.78
2005-11-01,3.45549738219894,2.3,47.4100000000008,25.4300000000003,2.0859,4
2005-12-01,3.41565948502364,2.3,46.2999999999993,166.37,2.2757,4.16
2006-01-01,3.98531725222863,2.5,7.51000000000022,-34.7299999999996,2.3264,4.29
2006-02-01,3.59749739311782,2.4,10.8149999999996,23.3199999999997,2.3495,4.49
2006-03-01,3.3626487325401,2.2,73.8000000000002,55.1900000000005,2.52,4.59
2006-04-01,3.54573484069888,2.5,75.4750000000004,104.16,2.6283,4.79
2006-05-01,4.16666666666665,2.5,-76.2300000000005,4.5,2.5768,4.94
2006-06-01,4.31876606683804,2.5,57.9549999999999,65.5999999999995,2.6977,4.99
2006-07-01,4.1453428863869,2.5,17.6050000000005,-4.52999999999975,2.8138,5.24
2006-08-01,3.81873727087576,2.3,23.5699999999997,-22.2299999999996,2.9683,5.25
2006-09-01,2.06237424547282,1.8,27.1750000000002,101.089999999999,3.041,5.25
2006-10-01,1.30522088353415,1.6,32.2950000000001,11.0799999999999,3.2782,5.25
2006-11-01,1.97368421052632,1.9,71.9049999999997,63.7400000000007,3.3277,5.25
2006-12-01,2.54065040650407,1.9,61.8249999999998,207.86,3.5011,5.24
2007-01-01,2.07564296520424,1.9,18.7300000000005,-39.71,3.5632,5.25
2007-02-01,2.41519879214898,1.9,0.644999999999527,3.57999999999993,3.5695,5.26
2007-03-01,2.77877877877878,2,88.1750000000002,122.650000000001,3.6909,5.26
2007-04-01,2.57369727047146,1.9,96.0200000000004,44.9499999999998,3.8195,5.25
2007-05-01,2.69086419753088,1.9,-49.1450000000004,53.6099999999997,3.7905,5.25
2007-06-01,2.68703794972894,1.9,42.3249999999998,94.71,3.9557,5.25
2007-07-01,2.35823095823096,1.8,2.22000000000025,40.1400000000003,4.0632,5.26
2007-08-01,1.97008337420303,1.8,59.8299999999999,-18.96,4.0474,5.02
2007-09-01,2.75505174963037,2.2,27.6500000000005,95.3800000000001,4.0286,4.94
2007-10-01,3.53617443012883,2.6,-1.36000000000058,89.6499999999996,3.9414,4.76
2007-11-01,4.30620347394541,3.1,61.1100000000006,59,4.0221,4.49
2007-12-01,4.0812685827552,3.1,64.25,148.08,3.8791,4.24
2008-01-01,4.28029404790135,3.3,6.625,12.5900000000001,4.0218,3.94
2008-02-01,4.02655541304871,3.3,68.5,22.21,4.0279,2.98
2008-03-01,3.98145623125168,3.7,135.275,73.1999999999998,4.091,2.61
2008-04-01,3.93688977482752,3.3,68.875,80.6999999999998,3.9868,2.28
2008-05-01,4.17554304180352,3.8,-72.2250000000004,63.1500000000005,4.0097,1.98
2008-06-01,5.02179004761172,4.1,25.8500000000004,45.9099999999999,4.0067,2
2008-07-01,5.60012290025396,4.2,18.8999999999996,15.6899999999996,4.1908,2.01
2008-08-01,5.37185511526235,3.9,-3.64999999999964,9.15999999999985,4.2989,2
2008-09-01,4.9369274305722,3.7,52.0299999999997,80.4200000000001,4.2733,1.81
2008-10-01,3.65518627713749,3.2,126.245,132.22,3.8198,0.97
2008-11-01,1.06957469180737,2.2,60.4250000000002,46.8699999999999,3.1502,0.39
2008-12-01,0.0914129006455893,1.7,217.490000000001,84.0700000000006,2.4864,0.16
2009-01-01,0.0298465036952666,1.2,84.3099999999995,-1.17000000000007,1.8122,0.15
2009-02-01,0.236191088037882,1.3,1.625,-8.09000000000015,1.2571,0.22
2009-03-01,-0.383556254917384,0.6,140.424999999999,0.220000000000255,1.062,0.18
2009-04-01,-0.736885715216724,0.7,22.4250000000011,70.9599999999991,0.8419,0.15
2009-05-01,-1.28143579895861,0.1,-27.4250000000011,-7.54999999999927,0.7821,0.18
2009-06-01,-1.42677604368987,-0.1,17.4400000000005,28.7199999999993,0.698,0.21
2009-07-01,-2.09716135367605,-0.6,-28.1649999999991,-16.0299999999997,0.3576,0.16
2009-08-01,-1.48434861196061,-0.1,-26.1550000000007,-17.1599999999999,0.3475,0.16
2009-09-01,-1.28620596664275,-0.3,12.0049999999992,0.6899999999996,0.3632,0.15
2009-10-01,-0.182848277486101,-0.1,25.0750000000007,24.7600000000002,0.3587,0.12
2009-11-01,1.83829586913028,0.5,67.3400000000001,-8.43000000000029,0.3624,0.12
2009-12-01,2.72133112620585,0.9,56.835000000001,105.110000000001,0.3546,0.12
2010-01-01,2.62570864295763,0.9,-67.5250000000015,-40.1599999999999,0.344,0.11
2010-02-01,2.14333177814537,0.8,8.125,-24.0100000000002,0.3406,0.13
2010-03-01,2.31395944694395,1.6,78.8649999999998,-1.46999999999935,0.3477,0.16
2010-04-01,2.23644719564809,1.6,45.4099999999999,59.5,0.3533,0.2
2010-05-01,2.02098608409396,1.7,-33.8899999999994,32.2699999999986,0.3439,0.2
2010-06-01,1.05334897284567,1.5,31.2900000000009,31.9400000000005,0.3543,0.18
2010-07-01,1.23519277830146,1.7,-31.1000000000022,4.51000000000022,0.4811,0.18
2010-08-01,1.1481045618392,1.6,23.9100000000017,4.79999999999927,0.4256,0.19
2010-09-01,1.14368265815928,1.9,48.8400000000001,1.90000000000146,0.4536,0.19
2010-10-01,1.17218760552695,1.9,53.125,34.1099999999988,0.7013,0.19
2010-11-01,1.14316091157028,1.9,58.6350000000002,9.81999999999971,0.5926,0.19
2010-12-01,1.49572352731431,2.2,90.0149999999994,84,0.4981,0.18
2011-01-01,1.63184685744875,2.3,0.684999999999491,-36.5499999999993,0.659,0.17
2011-02-01,2.10758462865817,2.4,34.0650000000005,-19.8600000000006,0.7071,0.16
2011-03-01,2.68160326424087,2.7,111.775,25.1900000000005,0.6587,0.14
2011-04-01,3.16363085927646,2.8,65.7000000000007,40.9300000000003,0.9661,0.1
2011-05-01,3.56864578463458,2.7,-46.2600000000002,6.11000000000058,1.0334,0.09
2011-06-01,3.55882825224234,2.7,84.6350000000002,29.8599999999988,1.124,0.09
2011-07-01,3.62871598222108,2.6,135.35,4.28000000000065,1.0118,0.07
2011-08-01,3.77120817911978,2.6,206.654999999999,8.44000000000051,0.9058,0.1
2011-09-01,3.8683568410403,3,52.6700000000001,37.3299999999999,1.0055,0.08
2011-10-01,3.5251999213574,3,46.7700000000004,-12.1599999999999,0.9596,0.07
2011-11-01,3.39437759080085,3,88.4549999999999,9.31999999999971,0.79,0.08
